Sentence,Sentiment,Translated_Sentence,Translated_Sentiment
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative,Tesla Motors faz recall de 2.700 SUVs Modelo X https://t.co/BFWS3DbM0U $TSLA,negativo
"The interim report for the first quarter is published on May 8 , 2009 .",neutral,O relatório intercalar do primeiro trimestre é publicado em 8 de maio de 2009 .,neutro
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,"O jornal agrícola Maaseudun Tulevaisuus teve 318 mil leitores, o que representa uma diminuição de 6%.",negativo
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",neutral,"A Finlandesa Scanfil , fornecedora de sistemas e fabricante contratada para o sector das comunicações e para a indústria electrónica , reporta que as suas vendas líquidas totalizaram 94,7 milhões de euros no primeiro semestre de 2010 , abaixo dos 99,5 milhões de euros no primeiro semestre de 2009 .",neutro
The group 's net sales in 2007 were EUR683 .6 m.,neutral,"As vendas líquidas do grupo em 2007 foram de 683,6 milhões de euros.",neutro
"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",neutral,"Os clientes da unidade concentram-se principalmente na área de bens de conveniência especializados, bem como nos negócios têxteis, calçadistas e moveleiros.",neutro
"Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .",neutral,"McDonald começou a noite com seu próprio set, apresentando sucessos de sua carreira solo e de seus anos como Doobie Brothers e uma seleção de covers de R&B que obtiveram resultados mistos.",neutro
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,"A Sarantel, com sede em Wellingborough, Reino Unido, projeta antenas de alto desempenho para dispositivos sem fio portáteis.",neutro
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,"San Miguel, das Filipinas, diz que fará parceria com a Kirin se fizer uma oferta pela SABMiller...",positivo
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative,Um tribunal superior da Finlândia multou sete empresas locais de asfalto em mais de um leão (117 milhões de dólares) por operarem um cartel.,negativo
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,neutral,"O lucro líquido caiu quase pela metade para +é 5,5 milhões de +é 9,4 milhões no final de 2007 .",neutro
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,"$AGN e $PYPL sob pressão junto com o mercado, porém houve negociações de opções de alta em ambos esta manhã https://t.co/9xG5W8nONT",neutro
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,neutral,"As ações da UPM caíram 3 por cento para EURO 12,49 ($ 17,24) no início da tarde em Helsinque.",neutro
"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral,"HELSINKI AFX-Cramo disse que concordou em vender a Cramo Nederland BV CNL, sua unidade holandesa de aluguel de máquinas e equipamentos, para Jaston Groep por um valor não revelado.",neutro
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive,"As ações subiram pelo segundo dia na quarta-feira, elevando sua alta de dois dias para GBX12,0 ou 2,0%.",positivo
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral,"O capital social da empresa Alma Media Corporation ID 1944757-4 é de 44.767.513,80 euros e está dividido em 74.612.523 ações.",neutro
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",neutral,"A movimentação das instalações portuárias é de 250 mil TEUs e 7,5 milhões de toneladas de carga geral.",neutro
Investments are not disclosed .,neutral,Os investimentos não são divulgados.,neutro
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,"O lucro operacional excluindo itens não recorrentes aumentou 27% para 81,9 milhões de euros, de 64,4 milhões de euros no período correspondente em 2008.",positivo
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,"No final de Março de 2009, os empréstimos da empresa ascendiam a 10,113 milhões de euros.",neutro
The value of the order is about EUR 30mn .,neutral,O valor da encomenda é de cerca de 30 milhões de euros.,neutro
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,A formação de mercado de acordo com o acordo terá início em 24 de setembro de 2009 .,neutro
$FB popping up to HOD,positive,$FB aparecendo no HOD,positivo
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,"“Estou muito satisfeito e orgulhoso do nosso desempenho no ano passado”, disse o Chefe do Executivo, Juha Rantanen, num comunicado.",positivo
"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral,"O pedido inclui uma estrutura de aço, estruturas de sustentação do telhado e elementos de parede divisória, e Rautaruukki disse que espera concluir a instalação já em maio do próximo ano.",neutro
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral,"As ações subscritas no âmbito das opções de compra de ações foram registradas no Registro Comercial em 20 de janeiro de 2011, data a partir da qual as novas ações estabelecerão direitos de acionistas.",neutro
The identity of the buyer is not yet known .,neutral,A identidade do comprador ainda não é conhecida.,neutro
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,"O lucro operacional líquido consolidado do Banco Finlandês de +àland aumentou de 4,8 milhões de euros no primeiro trimestre de 2005 para 6,4 milhões de euros no primeiro trimestre de 2006 .",positivo
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,positive,RT @robbieLOLZ $NFLX Um fechamento acima aqui parece bom para os touros. Manterei minhas posições para ver onde nos aproximamos. Continue comprando aqui.,positivo
Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .,positive,"Nos termos do contrato, a Cramo Sverige e o seu subcontratado Brinkab AB fornecerão todas as instalações de andaimes na nova fábrica de pellets da LKAB em Kiruna, no norte da Suécia.",positivo
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,"A cópia, republicação ou redistribuição do Conteúdo da AFX News, inclusive por enquadramento ou meios similares, é expressamente proibida sem o consentimento prévio por escrito da AFX News.",neutro
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,"Ela fabrica uma ampla gama de dispositivos móveis com serviços e software que permitem às pessoas experimentar música, navegação, vídeo, televisão, imagens, jogos e mobilidade empresarial.",neutro
easyJet expects resilient demand to withstand security fears,positive,easyJet espera que a procura resiliente resista aos receios de segurança,positivo
RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral,"RT @jan $ARNA Não acho que o boato de aquisição seja forte o suficiente para estar aumentando isso ainda... quando for, isso pode voar como um aapl... // voar quão alto?",neutro
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,"$ SLV -4,44% aos 18 agora HORRÍVEL, abaixo dos 42,50",negativo
The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',neutral,A antena secundária também pode ser utilizada para recepção do sinal de alta potência do radar para calibrar os canais de transmissão do radar. '',neutro
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,"A corretora iniciou a UPM-Kymmene, a Stora Enso e a Sappi com recomendações de “peso igual” e a Holmen e a Norske Skog com classificações de “subponderação”.",neutro
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",neutral,"A margem de lucro operacional foi de 8,3%, em comparação com 11,8% um ano antes.",neutro
"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,"Os mercados são quase completamente controlados por três bancos: Nordea, OP Bank Group e Sampo.",neutro
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative,"O lucro líquido caiu quase pela metade para +é 5,5 milhões de +é 9,4 milhões no final de 2007 .",negativo
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,"O EQ Bank prevê vendas líquidas da Olvi em 67 milhões de euros no segundo trimestre de 2009 e lucro operacional em 6,4 milhões de euros.",neutro
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",positive,"H+Ñkan Dahlstr+Âm, chefe de serviços de mobilidade da TeliaSonera, previu que o volume de dados móveis na rede TeliaSonera na Suécia aumentará oito vezes, para 200.000 TB até 2014.",positivo
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",neutral,"A cervejaria Bielorrussa OAO Lidskoe Pivo, com sede na região de Grodno, relatou uma diminuição de 1,1% na produção, para 1,045 milhão de decalitros, entre janeiro e março de 2010, disse um representante da administração da empresa.",neutro
The bridge will be built to the south of the existing bridge spanning the strait .,neutral,A ponte será construída a sul da ponte existente que atravessa o estreito.,neutro
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,O acordo não terá efeito significativo no índice de patrimônio líquido da empresa adquirente.,neutro
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,Exposição ao risco por Seguros Não Vida Despesas móveis de 12 meses por função em Seguros Não Vida excluindo despesas com gestão de investimentos e despesas com outros serviços prestados Carteira de investimentos em Seguros Não Vida por alocação,neutro
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,A empresa também é incluída no Ethibel Pioneer Investment Register e incluída na lista Global 100 da Innovest das empresas mais sustentáveis ​​do mundo.,positivo
The value of the multi-year agreement is over EUR 2mn a year .,neutral,O valor do acordo plurianual é superior a 2 milhões de euros por ano.,neutro
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,Glencore corta orçamento para 2015 e planeja desinvestir na Lonmin,negativo
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,"O fluxo de caixa das operações comerciais totalizou 0,4 milhões de euros em comparação com 15,5 milhões de euros negativos no primeiro semestre de 2008 .",positivo
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,"Comparado com o índice FTSE 100, que subiu 28,3 pontos ou 0,5% no dia, esta foi uma variação relativa de preços de 2,3%.",positivo
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",negative,"No momento, Valio não está preocupado, mas se a proibição continuar por muito tempo, poderá se tornar um grande problema.",negativo
Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive,Zurich Insurance considerando oferta para seguro rival RSA no Reino Unido,positivo
"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral,"Depois de comprar 50% da participação da Eukor Car Carriers, o Grimaldi Group é agora o único proprietário do porto sueco roll-on e roll-off de Wallhamn.",neutro
"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,"A Destia Oy é uma empresa finlandesa de infra-estruturas e serviços de construção que constrói, mantém e projecta vias de tráfego, ambientes industriais e de tráfego, mas também ambientes habitacionais completos.",neutro
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,"ALEXANDRIA, V. , 28 de março -- Pertti Salmi e Hanna Vuolteenaho , ambos de Oulu , Finlândia , e Sami Viitasaari de Ii , Finlândia , desenvolveram um design ornamental para um aparelho , nos EUA . Escritório de Patentes e Marcas Registradas anunciado",neutro
It will also strengthen Ruukki 's offshore business .,positive,Também fortalecerá os negócios offshore de Ruukki.,positivo
The handset maker did not disclose any financial details .,neutral,A fabricante de celulares não revelou quaisquer detalhes financeiros.,neutro
The plant is expected to start production in the first half of 2007 .,neutral,A fábrica deverá iniciar a produção no primeiro semestre de 2007 .,neutro
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,"A reestruturação cria uma organização mais eficiente, com maior foco operacional e lucratividade estável, e leva a uma produção mais eficiente, disse Bo Annvik, chefe de Inoxidáveis ​​Especiais.",positivo
The electricity requirement of networks will grow with the new mobile generation .,neutral,A necessidade de electricidade nas redes aumentará com a nova geração móvel.,neutro
"Order intake , on the other hand , is expected to be stronger than in 2007 .",positive,"A entrada de encomendas , por outro lado , deverá ser mais forte do que em 2007 .",positivo
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,"O lucro líquido nos três meses até 31 de março caiu para (x20ac) 103 milhões (US$ 165 milhões) de (x20ac) 131 milhões um ano antes, disse a empresa finlandesa.",negativo
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,"A CHS Expo Freight é uma importante empresa finlandesa de logística de feiras, exposições e cultura que fornece serviços de logística para diversos eventos por terra, ar e mar.",neutro
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,Nenhuma mudança ocorreu em relação à titularidade das ações da Tiimari pela Virala Oy Ab.,neutro
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral,"A Proha Plc (Euronext:7327) anunciou hoje (19 de maio) que sua subsidiária integral, Safran Software Solutions AS, concordou em vender sua participação de 49% na Safran North America LLC para a SNA Holding AS, um grupo de investimento com sede na Noruega. .",neutro
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,"O lucro operacional totalizou 21,1 milhões de euros, acima dos 18,6 milhões de euros em 2007, representando 9,7% das vendas líquidas.",positivo
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,"O fornecedor finlandês de soluções e sistemas de fornecimento de energia Efore Oyj disse que seu prejuízo líquido aumentou para 3,2 milhões de euros (US$ 4,2 milhões) no primeiro trimestre do ano fiscal de 2006-2007, encerrado em 31 de outubro de 2007, de 900.000 euros (US$ 1,2 milhão) para o mesmo período fiscal de 2005-06. .",negativo
Long $GPRO for a brealout trade,positive,Compre $ GOPRO para uma negociação de breakout,positivo
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral,Os termos e condições do Plano de Opção de Compra de Ações 2004 estão disponíveis no site do Grupo.,neutro
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,As vendas líquidas cresceram no período para x20ac 402 milhões ( $ 585 milhões de dólares ) de x20ac 401 milhões em 2006 .,positivo
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,"A margem operacional, no entanto, caiu de 15,1% para 14,4%, prejudicada por um fraco desempenho em soluções empresariais.",negativo
"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",neutral,"Comercializada sob o nome Velta UK, uma antiga marca da Uponor, a empresa tem sido parceira de longa data da Uponor no fornecimento de sistemas da marca Velta, especialmente para o sector da construção comercial e industrial no Reino Unido e internacionalmente.",neutro
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",neutral,"A Dolce & Gabbana pediu à União Europeia que declare inválida a marca registada com padrão floral ``Unikko'' da Marimekko Corporation, numa disputa contínua entre as duas empresas.",neutro
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,"As versões eletrônicas requerem de 24 a 48 horas, pois cada cópia é personalizada para o cliente com controles digitais e marcas d'água personalizadas.",neutro
"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",neutral,"O contrato cobre o fornecimento de equipamento de aquecimento temporário para a nova fábrica de pellets da LKAB em Kiruna, no norte da Suécia.",neutro
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral,"A América Latina atualmente responde por aproximadamente 40% das vendas do fornecedor finlandês BSS-OSS e VAS para operadoras de telecomunicações Tecnotree, disse o presidente e CEO da empresa, Eero Mertano, ao BNamericas.",neutro
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,"O lucro operacional foi de 139,7 milhões de euros, um aumento de 23% em relação aos 113,8 milhões de euros.",positivo
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,"O fluxo de caixa das operações totalizou 7,4 milhões de euros , em comparação com 68,6 milhões de euros negativos no segundo trimestre de 2008 .",positivo
Her present position is the director of Stockmann 's international department stores .,neutral,Seu cargo atual é o de diretora das lojas de departamentos internacionais da Stockmann.,neutro
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,Juniper cai no aviso do primeiro trimestre; Cisco também reduziu https://t.co/N8X8BpLJ1E $JNPR $CSCO,negativo
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,A finlandesa Rautaruukki está vendendo sua unidade de processamento de tubos de precisão e componentes automotivos Carl Froh na Alemanha para a alemã Arques Industries.,neutro
Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,neutral,A certificação florestal é um sistema voluntário que visa promover a gestão florestal sustentável em florestas comerciais.,neutro
The products have a low salt and fat content .,neutral,Os produtos possuem baixo teor de sal e gordura.,neutro
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,positive,ATUALIZAÇÃO 5-SABMiller rejeita abordagem de aquisição de US$ 104 bilhões da AB InBev,positivo
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",neutral,"POYRY PLCAnúncio da empresa 10 de dezembro de 2010 às 16h10. De acordo com o programa de opções de ações de 2004 da Poyry PLC, 63.792 novas ações da empresa foram subscritas desde 27 de outubro de 2010 com opções de ações 2004B.",neutro
The new units should become one of the largest ones within the company .,neutral,As novas unidades deverão se tornar uma das maiores da empresa.,neutro
"In this case , the effect would be negative in Finland .",neutral,"Neste caso, o efeito seria negativo na Finlândia.",neutro
Prices and delivery volumes of broadband products decreased significantly in 2005 .,neutral,Os preços e volumes de entrega de produtos de banda larga diminuíram significativamente em 2005 .,neutro
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive,"$KNDI #China #Fabricante de carros elétricos. Vendas de automóveis na China +7,8%. Além disso, pode se alimentar do impulso do $ TSLA recentemente.",positivo
"According to Bosse , the present cooperation is beneficial to all parties , however .",positive,"Segundo Bosse, no entanto, a actual cooperação é benéfica para todas as partes.",positivo
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive,"O fluxo de caixa das operações aumentou para 52,7 milhões de euros, contra 15,6 milhões de euros em 2007.",positivo
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive,"A Fiskars Brands reporta vendas líquidas de 145,8 milhões de euros, acima dos 138,4 milhões de euros.",positivo
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,"O Relatório Anual contém as demonstrações financeiras, as demonstrações financeiras consolidadas, o relatório do Conselho de Administração e o relatório do auditor.",neutro
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,A Cargotec também transferirá o negócio de serviços e instalação da Hallberg-Ivarsson para o mesmo teto com o seu centro de serviços para soluções Kalmar e MacGregor em Gotemburgo.,neutro
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,"O conselho de administração da empresa proporia um dividendo de 0,15 euros por acção para 2005 .",neutro
"On the other hand , Finnish sawmills ' production has decreased even more .",neutral,"Por outro lado, a produção das serrações finlandesas diminuiu ainda mais.",neutro
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive,"Este novo acordo fortaleceu a parceria entre Telemig Celular e Tecnomen, iniciada desde o início das operações pré-pagas da Telemig.",positivo
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,Tesco lidera salto no FTSE 100; Marks & Spencer cai,positivo
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,"A SSH Communications Security Corporation está sediada em Helsinque, Finlândia.",neutro
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,neutral,O AUMENTO DOS custos forçou o produtor de embalagens Huhtamaki a cortar 90 empregos em sua fábrica em Hampshire.,neutro
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,"A empresa projeta, fabrica e comercializa produtos compostos avançados para aplicações industriais e bens de consumo, como bastões de cross-country, alpinismo e caminhada nórdica, bastões de floorball e radomes de antena.",neutro
Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral,"O Turun Sinappi da Unilever, fabricado na Suécia, detém 40% do mercado.",neutro
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,"Assim, o balanço do grupo terá cerca de 25,8 milhões de euros em goodwill para 2010, acrescentou a empresa.",neutro
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",neutral,"Vanhanen disse que o ataque seria “extremamente prejudicial”, já que cerca de 1.300 participantes e repórteres começam a chegar à Finlândia para a cimeira de um dia da UE com o presidente russo, Vladimir Putin, em Lahti, cerca de 100 quilómetros (60 milhas) a norte de Helsínquia.",neutro
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,"O Serviço de Guarda de Fronteiras proibiu a atracação da balsa de transporte de automóveis da empresa em sua viagem de teste no terminal ferroviário do porto russo, pois o posto de controle de fronteira ainda não está pronto.",negativo
Financing of the project will come mainly from China .,neutral,O financiamento do projecto virá principalmente da China.,neutro
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,`` A compra das operações faz parte da estratégia da YIT para expandir geograficamente sua oferta de serviços de sistemas prediais. '',positivo
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,"O governo finlandês anunciou na quarta-feira que vendeu uma participação de 32 por cento no grupo de produtos químicos e fertilizantes Kemira Oyj por (x20ac) 655,6 milhões (US$ 890 milhões), elevando o preço das ações da empresa em 6 por cento.",positivo
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,"O justo valor das propriedades de investimento da empresa caiu para 2,769 mil milhões de euros no final de Setembro de 2009, face a 2,878 mil milhões de euros um ano antes.",negativo
UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,positive,A UPM-Kymmene gerou dezessete trimestres consecutivos de fluxo de caixa operacional positivo.,positivo
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",neutral,"A Konecranes Oyj KCR1V FH caiu 5,5 por cento para 20,51 euros, a maior queda desde Junho.",neutro
"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,"CapMan disse que o efeito do negócio no seu fluxo de caixa em 2009 totaliza 3,4 milhões de euros, mas a transacção não afectará os seus resultados financeiros em 2009, uma vez que foi executada pelo justo valor.",neutro
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral,"A Vianor vende pneus para automóveis e caminhões, bem como diversas outras peças automotivas e presta serviços de manutenção.",neutro
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",neutral,"Patrick Jeambar também continuará sendo responsável pelas funções de Inovação e Saúde, Segurança e Meio Ambiente de HSEA da Ahlstrom Corporation.",neutro
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,"Fundada em 1946, a Strand Associates, que fornece serviços de engenharia civil, ambiental, de transporte, elétrica e mecânica, tem 350 funcionários em 10 escritórios em Wisconsin, Alabama, Illinois, Indiana, Kentucky e Ohio.",neutro
Royal Mail share price rallies amid positive broker comments,positive,O preço das ações do Royal Mail sobe em meio a comentários positivos de corretores,positivo
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,"As ações do Standard Chartered (STAN) subiram 1,2% no FTSE 100, enquanto as ações do Royal Bank of Scotland (RBS) subiram 2% e as ações do Barclays (BARC) (BCS) subiram 1,7%.",positivo
"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .",neutral,"Para efeitos da possível aquisição, a PKC estabeleceria uma filial na Polónia.",neutro
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive,"Sua principal área de negócios, o Glass Machinery Group da Glaston Technologies, é líder de mercado global em máquinas de processamento de vidro.",positivo
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,"O lucro operacional caiu para 20,3 milhões de euros, de 74,2 milhões de euros no segundo trimestre de 2008.",negativo
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters .",positive,"Os fabricantes de cerveja lituanos venderam 256,88 milhões de litros de cerveja em 2005, um aumento de 4,5% em relação aos 245,92 milhões de litros do ano anterior.",positivo
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,As negociações decorreram de forma construtiva e todas as partes tentaram encontrar uma solução para a situação.,positivo
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,"Como resultado, a empresa prevê actualmente que as vendas líquidas aumentem e que o resultado operacional seja positivo.",positivo
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,negative,"A empresa confirmou a sua estimativa de receitas mais baixas para todo o ano de 2009 do que no ano anterior, 93,9 milhões de euros, conforme indicado no relatório intercalar de 5 de Agosto de 2009.",negativo
